filename,soundname,fold,target,category,clip_id,take,file_type,file_path,rating_freqshift,rating_hapticgen,rating_percept,rating_pitchmatch,best_algorithm,best_algorithm_name,best_rating
1-100038-A-14.wav,Chirping_Birds_6,1,14,chirping_birds,100038,A,audio,audio_vibration/audio/1-100038-A-14.wav,12.5,27.5,5.0,71.5,rating_pitchmatch,pitchmatch,71.5
1-100210-A-36.wav,Vacuum_Cleaner_15,1,36,vacuum_cleaner,100210,A,audio,audio_vibration/audio/1-100210-A-36.wav,61.0,47.0,54.5,64.0,rating_pitchmatch,pitchmatch,64.0
1-101296-A-19.wav,Thunderstorm_19,1,19,thunderstorm,101296,A,audio,audio_vibration/audio/1-101296-A-19.wav,20.0,60.0,2.5,70.0,rating_pitchmatch,pitchmatch,70.0
1-101296-B-19.wav,Thunderstorm_9,1,19,thunderstorm,101296,B,audio,audio_vibration/audio/1-101296-B-19.wav,76.0,42.5,61.5,66.5,rating_freqshift,freqshift,76.0
1-101404-A-34.wav,Can_Opening_5,1,34,can_opening,101404,A,audio,audio_vibration/audio/1-101404-A-34.wav,73.0,53.5,38.0,46.0,rating_freqshift,freqshift,73.0
1-103995-A-30.wav,Door_Wood_Knock_9,1,30,door_wood_knock,103995,A,audio,audio_vibration/audio/1-103995-A-30.wav,13.5,2.0,32.0,100.0,rating_pitchmatch,pitchmatch,100.0
1-105224-A-22.wav,Clapping_19,1,22,clapping,105224,A,audio,audio_vibration/audio/1-105224-A-22.wav,36.0,32.5,11.0,43.0,rating_pitchmatch,pitchmatch,43.0
1-110537-A-22.wav,Clapping_6,1,22,clapping,110537,A,audio,audio_vibration/audio/1-110537-A-22.wav,90.5,25.0,18.5,80.0,rating_freqshift,freqshift,90.5
1-115521-A-19.wav,Thunderstorm_7,1,19,thunderstorm,115521,A,audio,audio_vibration/audio/1-115521-A-19.wav,74.5,84.5,15.0,84.0,rating_hapticgen,hapticgen,84.5
1-115545-A-48.wav,Fireworks_2,1,48,fireworks,115545,A,audio,audio_vibration/audio/1-115545-A-48.wav,33.0,59.0,23.0,66.5,rating_pitchmatch,pitchmatch,66.5
1-116765-A-41.wav,Chainsaw_11,1,41,chainsaw,116765,A,audio,audio_vibration/audio/1-116765-A-41.wav,90.5,36.0,22.0,97.5,rating_pitchmatch,pitchmatch,97.5
1-11687-A-47.wav,Airplane_1,1,47,airplane,11687,A,audio,audio_vibration/audio/1-11687-A-47.wav,72.0,18.0,64.0,83.0,rating_pitchmatch,pitchmatch,83.0
1-118206-A-31.wav,Mouse_Click_7,1,31,mouse_click,118206,A,audio,audio_vibration/audio/1-118206-A-31.wav,53.5,8.0,25.0,95.0,rating_pitchmatch,pitchmatch,95.0
1-119125-A-45.wav,Train_7,1,45,train,119125,A,audio,audio_vibration/audio/1-119125-A-45.wav,77.0,49.0,43.0,86.5,rating_pitchmatch,pitchmatch,86.5
