filename,fold,target,category,clip_id,take,file_type,file_path
3-246513-B-16.wav,3,16,wind,246513,B,audio,audio_vibration/audio/3-246513-B-16.wav
1-39901-A-11.wav,1,11,sea_waves,39901,A,audio,audio_vibration/audio/1-39901-A-11.wav
1-19840-A-36.wav,1,36,vacuum_cleaner,19840,A,audio,audio_vibration/audio/1-19840-A-36.wav
1-28135-B-11.wav,1,11,sea_waves,28135,B,audio,audio_vibration/audio/1-28135-B-11.wav
2-60180-A-49.wav,2,49,hand_saw,60180,A,audio,audio_vibration/audio/2-60180-A-49.wav
2-66205-A-23.wav,2,23,breathing,66205,A,audio,audio_vibration/audio/2-66205-A-23.wav
1-54747-A-46.wav,1,46,church_bells,54747,A,audio,audio_vibration/audio/1-54747-A-46.wav
2-152964-A-31.wav,2,31,mouse_click,152964,A,audio,audio_vibration/audio/2-152964-A-31.wav
1-11687-A-47.wav,1,47,airplane,11687,A,audio,audio_vibration/audio/1-11687-A-47.wav
4-204777-A-39.wav,4,39,glass_breaking,204777,A,audio,audio_vibration/audio/4-204777-A-39.wav
5-160614-B-48.wav,5,48,fireworks,160614,B,audio,audio_vibration/audio/5-160614-B-48.wav
4-234644-A-2.wav,4,2,pig,234644,A,audio,audio_vibration/audio/4-234644-A-2.wav
4-201988-A-44.wav,4,44,engine,201988,A,audio,audio_vibration/audio/4-201988-A-44.wav
1-28005-A-18.wav,1,18,toilet_flush,28005,A,audio,audio_vibration/audio/1-28005-A-18.wav
5-234855-A-25.wav,5,25,footsteps,234855,A,audio,audio_vibration/audio/5-234855-A-25.wav
2-50668-A-41.wav,2,41,chainsaw,50668,A,audio,audio_vibration/audio/2-50668-A-41.wav
1-115545-A-48.wav,1,48,fireworks,115545,A,audio,audio_vibration/audio/1-115545-A-48.wav
3-144510-A-30.wav,3,30,door_wood_knock,144510,A,audio,audio_vibration/audio/3-144510-A-30.wav
4-198962-A-25.wav,4,25,footsteps,198962,A,audio,audio_vibration/audio/4-198962-A-25.wav
5-177957-D-40.wav,5,40,helicopter,177957,D,audio,audio_vibration/audio/5-177957-D-40.wav
2-102581-B-29.wav,2,29,drinking_sipping,102581,B,audio,audio_vibration/audio/2-102581-B-29.wav
2-52001-A-28.wav,2,28,snoring,52001,A,audio,audio_vibration/audio/2-52001-A-28.wav
3-142605-A-21.wav,3,21,sneezing,142605,A,audio,audio_vibration/audio/3-142605-A-21.wav
2-95567-A-23.wav,2,23,breathing,95567,A,audio,audio_vibration/audio/2-95567-A-23.wav
2-32515-A-4.wav,2,4,frog,32515,A,audio,audio_vibration/audio/2-32515-A-4.wav
5-214759-B-5.wav,5,5,cat,214759,B,audio,audio_vibration/audio/5-214759-B-5.wav
1-22804-A-46.wav,1,46,church_bells,22804,A,audio,audio_vibration/audio/1-22804-A-46.wav
3-96606-A-49.wav,3,49,hand_saw,96606,A,audio,audio_vibration/audio/3-96606-A-49.wav
3-110913-D-7.wav,3,7,insects,110913,D,audio,audio_vibration/audio/3-110913-D-7.wav
5-249748-A-28.wav,5,28,snoring,249748,A,audio,audio_vibration/audio/5-249748-A-28.wav
2-117615-E-48.wav,2,48,fireworks,117615,E,audio,audio_vibration/audio/2-117615-E-48.wav
