filename,soundname,fold,target,category,clip_id,take,vibration_type,file_type,file_path
2-78562-A-37-vib-freqshift.wav,Clock_Alarm_1,2,37,clock_alarm,78562,A,freqshift,vibration,audio_vibration/vibration/2-78562-A-37-vib-freqshift.wav
4-198962-A-25-vib-percept.wav,Footsteps_1,4,25,footsteps,198962,A,percept,vibration,audio_vibration/vibration/4-198962-A-25-vib-percept.wav
3-146965-A-5-vib-pitchmatch.wav,Cat_1,3,5,cat,146965,A,pitchmatch,vibration,audio_vibration/vibration/3-146965-A-5-vib-pitchmatch.wav
3-163727-A-3-vib-freqshift.wav,Cow_1,3,3,cow,163727,A,freqshift,vibration,audio_vibration/vibration/3-163727-A-3-vib-freqshift.wav
2-119161-B-8-vib-percept.wav,Sheep_1,2,8,sheep,119161,B,percept,vibration,audio_vibration/vibration/2-119161-B-8-vib-percept.wav
4-185575-A-20-vib-percept.wav,Crying_Baby_1,4,20,crying_baby,185575,A,percept,vibration,audio_vibration/vibration/4-185575-A-20-vib-percept.wav
1-58277-A-3-vib-freqshift.wav,Cow_2,1,3,cow,58277,A,freqshift,vibration,audio_vibration/vibration/1-58277-A-3-vib-freqshift.wav
3-102583-B-49-vib-pitchmatch.wav,Hand_Saw_1,3,49,hand_saw,102583,B,pitchmatch,vibration,audio_vibration/vibration/3-102583-B-49-vib-pitchmatch.wav
5-219044-A-46-vib-pitchmatch.wav,Church_Bells_1,5,46,church_bells,219044,A,pitchmatch,vibration,audio_vibration/vibration/5-219044-A-46-vib-pitchmatch.wav
1-36402-A-23-vib-percept.wav,Breathing_1,1,23,breathing,36402,A,percept,vibration,audio_vibration/vibration/1-36402-A-23-vib-percept.wav
2-84965-A-23-vib-pitchmatch.wav,Breathing_2,2,23,breathing,84965,A,pitchmatch,vibration,audio_vibration/vibration/2-84965-A-23-vib-pitchmatch.wav
4-194808-A-29-vib-pitchmatch.wav,Drinking_Sipping_1,4,29,drinking_sipping,194808,A,pitchmatch,vibration,audio_vibration/vibration/4-194808-A-29-vib-pitchmatch.wav
2-43802-A-42-vib-freqshift.wav,Siren_1,2,42,siren,43802,A,freqshift,vibration,audio_vibration/vibration/2-43802-A-42-vib-freqshift.wav
1-58846-A-34-vib-freqshift.wav,Can_Opening_1,1,34,can_opening,58846,A,freqshift,vibration,audio_vibration/vibration/1-58846-A-34-vib-freqshift.wav
